,LSM,MLPs I
0,7.117726122656065,7.034860704555191
1,7.089952801152335,6.894048922745195
2,7.090853367311694,6.881637891223456
3,7.08443623630636,6.998360479400435
4,7.123407614652356,6.919528266300593
5,7.1176024285738215,6.733546480443871
6,7.083327950837301,7.019769349505058
7,7.080599268508325,6.8412405918408075
8,7.106575375367878,7.003367760977208
9,7.096171675291111,6.801041793837479
10,7.082910129822609,6.955417127906737
11,7.111445427696416,7.0439130937616
12,7.091790678053782,6.900225747844659
13,7.063870288439833,6.217172706529032
14,7.122451408509303,6.84519789491047
15,7.132251949354894,6.969562994796845
16,7.082623457799361,6.868943700621339
17,7.153485426259493,7.035739657869116
18,7.127223268063587,6.959981880172698
19,7.091844143103281,7.038125163492163
20,7.116598061377048,6.953496731008787
21,7.094070911690193,6.957107390130897
22,7.132786582568461,6.943848740767811
23,7.078732283430447,6.950063685774281
24,7.118655088025959,6.921475458775511
25,7.106483138822638,6.942744629306856
26,7.107630648462029,7.020693811128529
27,7.1096417430474865,6.859652997078901
28,7.125404119950601,6.804382800337455
29,7.114612597176168,6.795586951635943
30,7.07716442700409,6.848308842402435
31,7.115501444688116,6.982585669651569
32,7.117064292181883,7.027234126455422
33,7.093674737118519,6.962209266601486
34,7.094165694272897,6.914732694900975
35,7.129830106360879,6.978612393261306
36,7.137711003450177,7.022900159920963
37,7.105310465567944,6.930341149557357
38,7.127774725174947,6.926386551724408
39,7.113087194084443,6.9281687546195725
40,7.074164613122369,7.0043361057334685
41,7.144861294948148,7.064765488070834
42,7.112798077214605,6.373386423995272
43,7.128070842226528,7.00269083453459
44,7.115266904542206,6.985740381043098
45,7.082065244691822,6.790692166953614
46,7.073528234150098,6.771028607908669
47,7.107504142543859,6.80184109467707
48,7.1081193105738425,6.974959115238872
49,7.108748898326581,6.949409890428345
50,7.090868378961065,7.006160101831666
51,7.118702388874902,7.004784689997958
52,7.113227592670505,6.868215563389928
53,7.1113552716405755,7.026449532048162
54,7.116315619596301,6.942619620695315
55,7.081515478408084,6.966155885572479
56,7.1010791704098155,6.92952631665605
57,7.100987106499134,6.962872014091624
58,7.116144599235813,6.447746080650119
59,7.099873606704052,7.00237587310321
60,7.092551390553595,6.643918273849217
61,7.055368765440815,6.9153576679538045
62,7.111335202325275,7.035214514447944
63,7.108925578203222,6.989430171274147
64,7.093182599425131,6.82403562748692
65,7.115771897563244,6.939604553337298
66,7.10358681873768,6.969043807685971
67,7.112963471148301,6.891896931653421
68,7.1070161734426245,6.961981802188207
69,7.098274369136008,6.985284503669448
70,7.09712205568221,7.034774306285565
71,7.119230355638933,5.428817490553253
72,7.1031208942487085,7.014872519876467
73,7.130900747364377,7.00383415780666
74,7.0964684594337815,6.9633486765001
75,7.120948461549121,7.0436147809003575
76,7.118625479653529,6.959294513135155
77,7.094282827307462,7.006708998025832
78,7.121400519263841,7.0109699684122795
79,7.108064683079492,7.037656105251067
80,7.104568719326444,6.934410027162391
81,7.078235277222398,6.941565855657145
82,7.139695662468717,6.927439065630819
83,7.129821547155232,7.019623219058741
84,7.11113481221611,6.945881866060575
85,7.082076007392612,6.089493794408428
86,7.088286737853003,6.9961028405642
87,7.134246036474205,7.036102038332169
88,7.081969023102898,6.899495480993571
89,7.139075363764802,6.809350574541544
90,7.11992273809216,6.998531514008924
91,7.115230074476673,6.976911615428542
92,7.100431739542804,6.949124274789615
93,7.115351681104706,7.014357658349195
94,7.126379644198587,6.998467197422619
95,7.107409373837024,6.967967716907112
96,7.117642107998011,6.912517486044653
97,7.122622934489424,6.963853656059958
98,7.123683337908122,6.954571593230321
99,7.123127309649519,6.979002898663309
