,y,moneyness,T,r,vol
0,0.0,0.8,0.003968253968253968,0.01,0.05
1,0.00024933459992640926,0.88,0.43197278911564624,0.011818181818181818,0.08461538461538462
2,0.030255313800131467,0.96,0.8599773242630385,0.013636363636363636,0.11923076923076924
3,0.10410613450874695,1.04,1.2879818594104309,0.015454545454545453,0.15384615384615385
4,0.19393741260879405,1.12,1.715986394557823,0.017272727272727273,0.18846153846153846
5,0.057039925096433436,0.8160000000000001,2.1439909297052155,0.01909090909090909,0.22307692307692312
6,0.12645161451573672,0.896,2.5719954648526078,0.020909090909090905,0.2576923076923077
7,0.019472263876780915,0.976,0.06511175898931001,0.022727272727272728,0.2923076923076923
8,0.13129290871205213,1.056,0.49311629413670227,0.024545454545454544,0.3269230769230769
9,0.23897716161108185,1.1360000000000001,0.9211208292840946,0.02636363636363636,0.36153846153846153
